,Regime_0,Regime_1,Regime_2,Moderate Growth,Recession,Expansion
2006-10-01,0.04914745752465012,0.9507524119282904,0.00010013054705563184,0.04914745752465012,0.9507524119282904,0.00010013054705563184
2006-11-01,0.0939306830408085,0.9059674918236963,0.0001018251354911019,0.0939306830408085,0.9059674918236963,0.0001018251354911019
2006-12-01,0.08956669640709729,0.9103092062086,0.0001240973842985436,0.08956669640709729,0.9103092062086,0.0001240973842985436
2007-01-01,0.0038424295936779437,0.9959163915835128,0.00024117882280531996,0.0038424295936779437,0.9959163915835128,0.00024117882280531996
2007-02-01,0.0013809718883423473,0.9984901951731066,0.00012883293854718862,0.0013809718883423473,0.9984901951731066,0.00012883293854718862
2007-03-01,0.020410596337549033,0.9795599471366976,2.945652574969975e-05,0.020410596337549033,0.9795599471366976,2.945652574969975e-05
2007-04-01,0.7271841470524124,0.27280876106123414,7.0918863497942e-06,0.7271841470524124,0.27280876106123414,7.0918863497942e-06
2007-05-01,0.9152622208093874,0.08473378155337478,3.9976372340163476e-06,0.9152622208093874,0.08473378155337478,3.9976372340163476e-06
2007-06-01,0.9636301439094856,0.03636519832515637,4.65776535427072e-06,0.9636301439094856,0.03636519832515637,4.65776535427072e-06
2007-07-01,0.9711365297697044,0.028856832238831502,6.63799146021609e-06,0.9711365297697044,0.028856832238831502,6.63799146021609e-06
2007-08-01,0.9727013532465603,0.027289301856708595,9.34489672746734e-06,0.9727013532465603,0.027289301856708595,9.34489672746734e-06
2007-09-01,0.9613744121739285,0.03861016015798777,1.5427668080157764e-05,0.9613744121739285,0.03861016015798777,1.5427668080157764e-05
2007-10-01,0.9445354678759921,0.05543507067673778,2.9461447266437904e-05,0.9445354678759921,0.05543507067673778,2.9461447266437904e-05
2007-11-01,0.8662555846866625,0.1336533648792608,9.105043407309446e-05,0.8662555846866625,0.1336533648792608,9.105043407309446e-05
2007-12-01,0.6505261857806892,0.34884884217965256,0.0006249720396545458,0.6505261857806892,0.34884884217965256,0.0006249720396545458
2008-01-01,7.283148058018884e-19,0.9906755482594516,0.009324451740544921,7.283148058018884e-19,0.9906755482594516,0.009324451740544921
2008-02-01,8.197137506267565e-20,0.9934321029425147,0.00656789705748183,8.197137506267565e-20,0.9934321029425147,0.00656789705748183
2008-03-01,1.2639244475931261e-19,0.9964031826967302,0.0035968173032663534,1.2639244475931261e-19,0.9964031826967302,0.0035968173032663534
2008-04-01,0.21458799186133784,0.78388185051352,0.0015301576251388574,0.21458799186133784,0.78388185051352,0.0015301576251388574
2008-05-01,0.2461075078047368,0.7501372833221729,0.0037552088730869945,0.2461075078047368,0.7501372833221729,0.0037552088730869945
2008-06-01,0.19596674183691296,0.7711353284603587,0.03289792970272523,0.19596674183691296,0.7711353284603587,0.03289792970272523
2008-07-01,6.084812938711938e-26,0.6747836531634865,0.32521634683651,6.084812938711938e-26,0.6747836531634865,0.32521634683651
2008-08-01,2.429894758524695e-25,0.432632935192801,0.567367064807196,2.429894758524695e-25,0.432632935192801,0.567367064807196
2008-09-01,5.546710037235766e-26,0.21759854958765432,0.7824014504123432,5.546710037235766e-26,0.21759854958765432,0.7824014504123432
2008-10-01,6.902726076581807e-122,8.480107168936631e-06,0.9999915198928291,6.902726076581807e-122,8.480107168936631e-06,0.9999915198928291
2008-11-01,2.3515892936366776e-123,1.454204666788982e-08,0.9999999854579512,2.3515892936366776e-123,1.454204666788982e-08,0.9999999854579512
2008-12-01,1.0184155786921711e-133,2.501030819011945e-07,0.999999749896916,1.0184155786921711e-133,2.501030819011945e-07,0.999999749896916
2009-01-01,2.5426388528568557e-68,0.003222881433247146,0.9967771185667508,2.5426388528568557e-68,0.003222881433247146,0.9967771185667508
2009-02-01,1.195532074202097e-67,0.023918169569722453,0.9760818304302756,1.195532074202097e-67,0.023918169569722453,0.9760818304302756
2009-03-01,6.864863657067437e-67,0.13096749460795848,0.8690325053920396,6.864863657067437e-67,0.13096749460795848,0.8690325053920396
2009-04-01,1.278114642501428e-23,0.8051236156656532,0.19487638433434498,1.278114642501428e-23,0.8051236156656532,0.19487638433434498
2009-05-01,4.271151961587699e-24,0.959805893046938,0.04019410695306021,4.271151961587699e-24,0.959805893046938,0.04019410695306021
2009-06-01,5.695177808961502e-26,0.9932285559487775,0.006771444051220702,5.695177808961502e-26,0.9932285559487775,0.006771444051220702
2009-07-01,3.126569667603258e-09,0.9990745336802453,0.0009254631931831498,3.126569667603258e-09,0.9990745336802453,0.0009254631931831498
2009-08-01,6.788870624505716e-10,0.999813809543653,0.00018618977745838306,6.788870624505716e-10,0.999813809543653,0.00018618977745838306
2009-09-01,1.80829302545437e-08,0.9999840713735942,1.5910543474145937e-05,1.80829302545437e-08,0.9999840713735942,1.5910543474145937e-05
2009-10-01,0.8581299723862582,0.14185654475111573,1.3482862624454842e-05,0.8581299723862582,0.14185654475111573,1.3482862624454842e-05
2009-11-01,0.937802151868406,0.0621611459977618,3.670213383087153e-05,0.937802151868406,0.0621611459977618,3.670213383087153e-05
2009-12-01,0.8538167324101262,0.1459743037785395,0.00020896381133303103,0.8538167324101262,0.1459743037785395,0.00020896381133303103
2010-01-01,8.240418380555716e-06,0.9991076553520555,0.0008841042295627816,8.240418380555716e-06,0.9991076553520555,0.0008841042295627816
2010-02-01,3.336058052329888e-07,0.9998252994972578,0.00017436689693586213,3.336058052329888e-07,0.9998252994972578,0.00017436689693586213
2010-03-01,4.772555643650642e-06,0.9999553363267573,3.989111759792577e-05,4.772555643650642e-06,0.9999553363267573,3.989111759792577e-05
2010-04-01,0.6271444699608328,0.37282011355511036,3.541648405579889e-05,0.6271444699608328,0.37282011355511036,3.541648405579889e-05
2010-05-01,0.7614294043971339,0.23851217222491372,5.842337795148104e-05,0.7614294043971339,0.23851217222491372,5.842337795148104e-05
2010-06-01,0.6919776523323421,0.30783313215136954,0.00018921551628746613,0.6919776523323421,0.30783313215136954,0.00018921551628746613
2010-07-01,0.1680772482935354,0.8311893666132376,0.0007333850932260317,0.1680772482935354,0.8311893666132376,0.0007333850932260317
2010-08-01,0.04114568727835034,0.9584860972078932,0.00036821551375549417,0.04114568727835034,0.9584860972078932,0.00036821551375549417
2010-09-01,0.012244867487810198,0.9875564854697678,0.0001986470424212644,0.012244867487810198,0.9875564854697678,0.0001986470424212644
2010-10-01,4.21796316838617e-06,0.9998665364660339,0.00012924557079682398,4.21796316838617e-06,0.9998665364660339,0.00012924557079682398
2010-11-01,1.0427056709200716e-06,0.9998899133388955,0.00010904395543266925,1.0427056709200716e-06,0.9998899133388955,0.00010904395543266925
2010-12-01,3.2841604755160782e-06,0.9998780047888138,0.00011871105070955031,3.2841604755160782e-06,0.9998780047888138,0.00011871105070955031
2011-01-01,2.5209162739946595e-25,0.9997928622394872,0.00020713776051179352,2.5209162739946595e-25,0.9997928622394872,0.00020713776051179352
2011-02-01,5.118854222465196e-25,0.9997758353632649,0.0002241646367338874,5.118854222465196e-25,0.9997758353632649,0.0002241646367338874
2011-03-01,1.737524645672161e-25,0.9998004913181324,0.00019950868186627347,1.737524645672161e-25,0.9998004913181324,0.00019950868186627347
2011-04-01,0.0006175307733927789,0.9992532242192438,0.0001292450073623234,0.0006175307733927789,0.9992532242192438,0.0001292450073623234
2011-05-01,0.0009857786164296136,0.9988978959011265,0.00011632548244285188,0.0009857786164296136,0.9988978959011265,0.00011632548244285188
2011-06-01,0.0012621593352351043,0.9986261710023145,0.00011166966244914681,0.0012621593352351043,0.9986261710023145,0.00011166966244914681
2011-07-01,3.1732040881161284e-18,0.999858032109099,0.00014196789090000324,3.1732040881161284e-18,0.999858032109099,0.00014196789090000324
2011-08-01,2.3400097687624744e-18,0.9998723706560899,0.0001276293439091423,2.3400097687624744e-18,0.9998723706560899,0.0001276293439091423
2011-09-01,1.2699954987057605e-16,0.9999700025520158,2.9997447982997833e-05,1.2699954987057605e-16,0.9999700025520158,2.9997447982997833e-05
2011-10-01,0.777913983831386,0.22207328900142,1.2727167192910516e-05,0.777913983831386,0.22207328900142,1.2727167192910516e-05
2011-11-01,0.9301121827052827,0.06987469592035067,1.3121374365490216e-05,0.9301121827052827,0.06987469592035067,1.3121374365490216e-05
2011-12-01,0.9521033692544353,0.047869923772844825,2.670697271874208e-05,0.9521033692544353,0.047869923772844825,2.670697271874208e-05
